congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
63,Senate,200,Republican,44,0.4175,-0.038,0.40688636363636355,0.030363636
63,Senate,370,Progressive,1,0.199,0.341,0.199,0.341
64,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
64,Senate,100,Democrat,58,-0.2865,-0.0635,-0.284689655,-0.095344828
64,Senate,200,Republican,42,0.432,-0.0495,0.4216666666666667,0.024833333333333336
65,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
65,Senate,100,Democrat,62,-0.269,-0.137,-0.278606557,-0.12242623
65,Senate,200,Republican,49,0.403,-0.044,0.41863829787234047,0.033446809
66,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
66,Senate,100,Democrat,50,-0.281,-0.14,-0.29324,-0.15808
66,Senate,200,Republican,51,0.426,-0.055,0.42507843137254897,0.033039216
67,President,200,Republican,1,0.445,-0.748,0.445,-0.748
67,Senate,100,Democrat,40,-0.269,-0.137,-0.286410256,-0.138794872
67,Senate,200,Republican,67,0.432,0.045,0.42074242424242414,0.063454545
68,President,200,Republican,2,0.4205,-0.219,0.4205,-0.219
68,Senate,100,Democrat,43,-0.259,-0.028,-0.25327907,-0.090186047
68,Senate,200,Republican,59,0.43,0.057,0.41389830508474573,0.060830508474576266
68,Senate,537,Farmer-Labor,2,0.19,0.9079999999999999,0.19,0.9079999999999999
69,President,200,Republican,1,0.396,0.31,0.396,0.31
69,Senate,100,Democrat,43,-0.267,-0.055,-0.268651163,-0.091534884
69,Senate,200,Republican,61,0.419,0.14,0.3979672131147541,0.14557377049180328
69,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
70,President,200,Republican,1,0.396,0.31,0.396,0.31
70,Senate,100,Democrat,48,-0.263,-0.034,-0.2726875,-0.050020833
70,Senate,200,Republican,54,0.417,0.14,0.39249056603773586,0.14873584905660378
70,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
71,President,200,Republican,1,,,,
71,Senate,100,Democrat,44,-0.268,0.0005,-0.278477273,0.012613636363636353
71,Senate,200,Republican,64,0.4185,0.0465,0.40342187500000004,0.06815625
71,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
72,President,200,Republican,1,,,,
72,Senate,100,Democrat,53,-0.2365,0.1155,-0.227384615,0.16390384615384618
72,Senate,200,Republican,52,0.3705,0.074,0.3671346153846154,0.081211538
72,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
73,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
73,Senate,100,Democrat,65,-0.221,0.243,-0.207938462,0.24610769230769228
73,Senate,200,Republican,37,0.323,0.048,0.3319459459459459,0.096324324
73,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
74,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
74,Senate,100,Democrat,77,-0.209,0.243,-0.20784,0.2311333333333333
74,Senate,200,Republican,26,0.276,0.217,0.29719999999999996,0.1726
74,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
74,Senate,537,Farmer-Labor,2,0.11499999999999999,0.989,0.11499999999999999,0.989
75,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
75,Senate,100,Democrat,84,-0.2275,0.24,-0.227646341,0.24250000000000002
75,Senate,200,Republican,19,0.255,-0.018,0.2668823529411764,0.041823529
75,Senate,328,Independent,1,0.134,0.991,0.134,0.991
75,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
75,Senate,537,Farmer-Labor,2,0.2135,0.977,0.2135,0.977
76,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
76,Senate,100,Democrat,73,-0.224,0.243,-0.220493151,0.26094520547945205
76,Senate,200,Republican,27,0.246,-0.172,0.25392592592592583,-0.100592593
76,Senate,328,Independent,1,0.134,0.991,0.134,0.991
76,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
76,Senate,537,Farmer-Labor,2,0.2135,0.977,0.2135,0.977
77,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
77,Senate,100,Democrat,76,-0.221,0.312,-0.217643836,0.30730136986301365
77,Senate,200,Republican,31,0.254,-0.098,0.2541666666666666,-0.094366667
77,Senate,328,Independent,1,0.134,0.991,0.134,0.991
77,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
78,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
78,Senate,100,Democrat,61,-0.191,0.314,-0.195133333,0.27979999999999994
78,Senate,200,Republican,42,0.277,-0.041,0.29173809523809524,-0.091928571
78,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
79,President,100,Democrat,2,-0.371,0.1295,-0.371,0.1295
79,Senate,100,Democrat,66,-0.209,0.334,-0.219,0.3218153846153846
79,Senate,200,Republican,42,0.271,-0.1365,0.274952381,-0.151
